	4	  0
	4	  -94
	5	  -98
	5	  0
	6	  -95
	6	  -74
	7	  -84
	8	  -93
	8	  -77
	9	  -83
	9	  -93
	10	  -86
	11	  -76
	11	  -96
	12	  -85
	12	  -68
	13	  -80
	13	  -84
	14	  -88
	15	  -90
	29	  -77
	79	  0
	129	  86
	179	  33
	229	  -54
	280	  40
	329	  81
	379	  -33
	429	  -29
	479	  69
	529	  9
	579	  -31
	629	  4
	679	  32
	729	  -28
	779	  -38
	829	  -20
	879	  2
	929	  -32
	981	  -45
	1029	  -27
	1079	  -61
	1129	  -64
	1179	  20
	1229	  34
	1279	  0
	1329	  -95
	1379	  -86
	1429	  -60
	1479	  -22
	1529	  -11
	1579	  -19
	1629	  -52
	1679	  -93
	1729	  -96
	1779	  -100
	1829	  -98
	1879	  -96
	1929	  -36
	1981	  58
	2030	  12
	2079	  -65
	2129	  -96
	2179	  -97
	2229	  -96
	2279	  -52
	2329	  56
	2379	  38
	2429	  -66
	2479	  -14
	2529	  67
	2579	  -1
	2629	  -5
	2679	  57
	2729	  60
	2779	  38
	2829	  8
	2879	  12
	2929	  52
	2981	  34
	3029	  -2
	3079	  26
	3129	  63
	3179	  33
	3229	  2
	3279	  -10
	3329	  66
	3379	  69
	3429	  65
	3480	  39
	3529	  8
	3579	  21
	3629	  80
	3679	  49
	3729	  10
	3779	  1
	3829	  45
	3879	  66
	3929	  64
	3981	  69
	4029	  57
	4079	  26
	4129	  28
	4179	  45
	4229	  67
	4279	  62
	4329	  43
	4379	  7
	4429	  5
	4479	  -2
	4529	  -14
	4579	  -11
	4629	  13
	4679	  0
	4729	  -29
	4779	  -56
	4829	  -35
	4879	  2
	4929	  -4
	4981	  -70
	5029	  -94
	5079	  -95
	5129	  -92
	5179	  -61
	5230	  -2
	5279	  -14
	5329	  -21
	5379	  19
	5429	  40
	5479	  9
	5529	  -9
	5579	  55
	5629	  41
	5679	  34
	5729	  48
	5779	  30
	5829	  -24
	5879	  6
	5929	  50
	5982	  -37
	6029	  -3
	6079	  54
	6129	  -1
	6179	  -13
	6229	  23
	6279	  -2
	6329	  -20
	6379	  19
	6429	  8
	6479	  -3
	6529	  21
	6579	  47
	6629	  23
	6680	  3
	6729	  30
	6779	  46
	6829	  31
	6879	  14
	6929	  25
	6981	  21
	7029	  28
	7079	  45
	7129	  67
	7179	  76
	7229	  81
	7279	  59
	7329	  34
	7379	  16
	7429	  28
	7479	  36
	7529	  48
	7579	  57
	7629	  71
	7679	  56
	7729	  0
	7779	  -3
	7829	  66
	7879	  16
	7929	  -23
	7981	  51
	8029	  -20
	8079	  -45
	8129	  11
	8179	  17
	8229	  -43
	8279	  -9
	8329	  35
	8379	  -48
	8430	  -50
	8479	  -2
	8529	  -7
	8579	  -58
	8629	  -44
	8679	  -25
	8729	  -19
	8779	  -10
	8829	  4
	8879	  -39
	8929	  -48
	8982	  0
