0	  -100
51	  10
102	  61
153	  22
204	  -9
255	  17
306	  51
357	  61
408	  24
459	  -21
510	  34
561	  38
612	  -34
663	  -20
714	  29
765	  6
816	  -22
867	  -28
918	  -16
969	  -23
1020	  -41
1071	  -62
1122	  -53
1173	  30
1224	  25
1275	  -69
1326	  -50
1377	  34
1428	  -44
1479	  -89
1530	  -82
1581	  -61
1632	  -61
1683	  -40
1734	  -40
1785	  -56
1837	  -60
1888	  -23
1939	  18
1990	  -35
2041	  -73
2093	  -27
2144	  -11
2195	  -61
2246	  -23
2297	  19
2349	  -24
2400	  -45
2451	  -36
2502	  0
2553	  2
2605	  3
2656	  11
2707	  20
2758	  24
2809	  35
2861	  48
2912	  52
2963	  35
3014	  9
3065	  33
3117	  49
3168	  49
3219	  39
3270	  24
3321	  16
3373	  31
3424	  30
3475	  12
3526	  21
3577	  43
3629	  50
3680	  44
3731	  32
3782	  20
3833	  26
3885	  34
3936	  35
3987	  21
4038	  35
4089	  46
4141	  58
4192	  69
4243	  72
4294	  68
4345	  56
4397	  56
4448	  68
4499	  78
4550	  75
4601	  71
4653	  35
4704	  -43
4755	  -58
4806	  12
4857	  42
4909	  -16
4960	  -38
5011	  -13
5062	  10
5113	  -41
5165	  -77
5216	  -51
5267	  -23
5318	  -16
5369	  -44
5421	  -56
5472	  -29
5523	  -10
5574	  -15
5625	  18
5677	  15
5728	  16
5779	  21
5830	  25
5881	  23
5933	  37
5984	  48
6035	  62
6086	  45
6137	  1
6189	  0
6240	  9
6291	  17
6342	  14
6393	  -4
6445	  -1
6496	  16
6547	  18
6598	  -3
6649	  -2
6701	  4
6752	  0
6803	  7
6854	  18
6905	  27
6957	  36
7008	  36
7059	  25
7110	  27
7161	  47
7213	  52
7264	  28
7315	  22
7366	  24
7417	  40
7469	  53
7520	  60
7571	  61
7622	  53
7673	  39
7725	  22
7776	  20
7827	  29
7878	  36
7929	  42
7981	  48
8032	  47
8083	  46
8134	  22
8185	  13
8237	  30
8288	  36
8339	  7
8390	  18
8441	  30
8493	  -40
8544	  -4
8595	  65
8646	  -6
8697	  -45
8749	  17
8800	  11
8851	  -44
8902	  0
8953	  17
9005	  -57
9056	  -66
9107	  -38
9158	  -4
9209	  1
9261	  -23
9312	  -19
9363	  -9
9414	  -16
9465	  -34
9517	  -54
9568	  -52
9619	  -36
9670	  -42
9721	  -44
9773	  -68
9824	  -64
9875	  -11
9926	  -11
9977	  -61
10029	  -66
10080	  -16
10131	  33
10182	  12
