MT: 0.40	MR: 0.50	MF: 20
1	-100
52	23
103	92
154	57
205	-97
256	97
307	94
358	63
409	78
460	98
511	78
562	-68
613	-97
664	-62
715	84
766	88
817	14
868	-78
919	-99
970	-76
1021	-58
1072	8
1123	50
1174	-28
1225	-96
1276	-41
1327	40
1378	-38
1429	-90
1480	-91
1531	-92
1582	-96
1633	-99
1684	-100
1735	-98
1786	-38
1837	72
1888	55
1939	-52
1990	-99
2041	-98
2092	-99
2144	-78
2195	57
2246	94
2297	57
2348	-64
2400	-96
2451	12
2502	98
2553	79
2604	67
2656	79
2707	95
2758	89
2809	56
2860	-16
2912	-13
2963	38
3014	66
3065	45
3116	18
3168	7
3219	27
3270	33
3321	3
3372	5
3424	59
3475	66
3526	30
3577	-8
3628	30
3680	83
3731	90
3782	91
3833	80
3884	69
3936	71
3987	67
4038	45
4089	-15
4140	-36
4192	-18
4243	42
4294	46
4345	-51
4396	-80
4448	-70
4499	25
4550	34
4601	-93
4652	-96
4704	-95
4755	-92
4806	-32
4857	26
4908	4
4960	3
5011	8
5062	21
5113	21
5164	25
5216	22
5267	46
5318	58
5369	36
5420	-41
5472	-19
5523	71
5574	64
5625	-34
5676	-80
5728	-4
5779	82
5830	68
5881	-21
5932	-81
5984	-17
6035	83
6086	89
6137	88
6188	62
6240	24
6291	-3
6342	10
6393	33
6444	37
6496	38
6547	45
6598	50
6649	38
6700	11
6752	10
6803	28
6854	42
6905	34
6956	30
7008	37
7059	35
7110	20
7161	-7
7212	28
7264	62
7315	47
7366	-11
7417	-38
7468	25
7520	58
7571	-9
7622	-98
7673	-24
7724	73
7776	29
7827	-90
7878	-91
7929	-17
7980	43
8032	-48
8083	-100
8134	-97
8185	-41
8236	52
8288	12
8339	-76
8390	-97
8441	-91
8492	-29
8544	-22
8595	23
8646	-4
8697	-58
8748	-76
8800	-30
8851	40
8902	4
8953	-57
9004	-44
9056	8
9107	34
9158	0
9209	-11
9260	-3
9312	75
9363	91
9414	87
9465	86
9516	62
9568	-27
9619	9
9670	79
9721	82
9772	80
9824	73
9875	57
9926	63
9977	79
10028	82
10080	-55
10131	-99
10182	-98
