score:	0
Time:	0	 error: -100
Time:	51	 error: -22
Time:	102	 error: 90
Time:	153	 error: 65
Time:	204	 error: -96
Time:	255	 error: 37
Time:	306	 error: 96
Time:	357	 error: 70
Time:	408	 error: -17
Time:	459	 error: -36
Time:	510	 error: 18
Time:	561	 error: 13
Time:	612	 error: -37
Time:	663	 error: 5
Time:	714	 error: 35
Time:	765	 error: -14
Time:	816	 error: -51
Time:	867	 error: -63
Time:	918	 error: -74
Time:	969	 error: -36
Time:	1020	 error: -20
Time:	1071	 error: -28
Time:	1122	 error: -6
Time:	1173	 error: 52
Time:	1224	 error: -93
Time:	1275	 error: -98
Time:	1326	 error: -48
Time:	1377	 error: -16
Time:	1429	 error: -32
Time:	1480	 error: -16
Time:	1531	 error: -13
Time:	1582	 error: -20
Time:	1633	 error: -60
Time:	1685	 error: -92
Time:	1736	 error: -96
Time:	1787	 error: -99
Time:	1838	 error: -97
Time:	1889	 error: -96
Time:	1941	 error: -91
Time:	1992	 error: 9
Time:	2043	 error: 45
Time:	2094	 error: -52
Time:	2145	 error: -94
Time:	2197	 error: -94
Time:	2248	 error: -95
Time:	2299	 error: -60
Time:	2350	 error: 39
Time:	2401	 error: 30
Time:	2453	 error: -57
Time:	2504	 error: 3
Time:	2555	 error: 73
Time:	2606	 error: 4
Time:	2657	 error: -22
Time:	2709	 error: 70
Time:	2760	 error: 91
Time:	2811	 error: 48
Time:	2862	 error: -30
Time:	2913	 error: 4
Time:	2965	 error: 84
Time:	3016	 error: 74
Time:	3067	 error: 42
Time:	3118	 error: -5
Time:	3169	 error: -7
Time:	3221	 error: 34
Time:	3272	 error: 39
Time:	3323	 error: 10
Time:	3374	 error: 17
Time:	3425	 error: 71
Time:	3477	 error: 59
Time:	3528	 error: 8
Time:	3579	 error: -8
Time:	3630	 error: 67
Time:	3681	 error: 82
Time:	3733	 error: 40
Time:	3784	 error: -12
Time:	3835	 error: 47
Time:	3886	 error: 97
Time:	3937	 error: 87
Time:	3989	 error: 82
Time:	4040	 error: 45
Time:	4091	 error: 12
Time:	4142	 error: 24
Time:	4193	 error: 40
Time:	4245	 error: 23
Time:	4296	 error: 13
Time:	4347	 error: 12
Time:	4398	 error: 7
Time:	4449	 error: -8
Time:	4501	 error: -23
Time:	4552	 error: -2
Time:	4603	 error: 16
Time:	4654	 error: -16
Time:	4705	 error: -42
Time:	4757	 error: -48
Time:	4808	 error: -71
Time:	4859	 error: -9
Time:	4910	 error: 31
Time:	4961	 error: -75
Time:	5013	 error: -97
Time:	5064	 error: -97
Time:	5115	 error: -95
Time:	5166	 error: -94
Time:	5217	 error: -6
Time:	5269	 error: 22
Time:	5320	 error: -32
Time:	5371	 error: -9
Time:	5422	 error: 52
Time:	5473	 error: 34
Time:	5525	 error: -2
Time:	5576	 error: 2
Time:	5627	 error: 42
Time:	5678	 error: 36
Time:	5729	 error: 43
Time:	5781	 error: 30
Time:	5832	 error: 3
Time:	5883	 error: -2
Time:	5934	 error: 17
Time:	5985	 error: 13
Time:	6037	 error: -14
Time:	6088	 error: 23
Time:	6139	 error: 38
Time:	6190	 error: -33
Time:	6241	 error: -14
Time:	6293	 error: 24
Time:	6344	 error: -3
Time:	6395	 error: -16
Time:	6446	 error: 3
Time:	6497	 error: 19
Time:	6549	 error: -10
Time:	6600	 error: 13
Time:	6651	 error: 24
Time:	6702	 error: 18
Time:	6753	 error: 19
Time:	6805	 error: 28
Time:	6856	 error: 29
Time:	6907	 error: 21
Time:	6958	 error: 9
Time:	7009	 error: 22
Time:	7061	 error: 19
Time:	7112	 error: 23
Time:	7163	 error: 30
Time:	7214	 error: 58
Time:	7265	 error: 73
Time:	7317	 error: 79
Time:	7368	 error: 69
Time:	7419	 error: 21
Time:	7470	 error: -2
Time:	7521	 error: 28
Time:	7573	 error: 48
Time:	7624	 error: 68
Time:	7675	 error: 79
Time:	7726	 error: 81
Time:	7777	 error: 43
Time:	7829	 error: -34
Time:	7880	 error: -25
Time:	7931	 error: 48
Time:	7982	 error: 73
Time:	8033	 error: -16
Time:	8085	 error: -65
Time:	8136	 error: -15
Time:	8187	 error: 28
Time:	8238	 error: -5
Time:	8289	 error: -45
Time:	8341	 error: -3
Time:	8392	 error: 19
Time:	8443	 error: -24
Time:	8494	 error: -33
Time:	8545	 error: 7
Time:	8597	 error: 0
Time:	8648	 error: -64
Time:	8699	 error: -79
Time:	8750	 error: -38
Time:	8801	 error: 20
Time:	8853	 error: 5
Time:	8904	 error: -48
Time:	8955	 error: -57
Time:	9006	 error: -31
Time:	9057	 error: -20
Time:	9109	 error: 6
Time:	9160	 error: -20
Time:	9211	 error: -19
Time:	9262	 error: -29
Time:	9313	 error: -38
Time:	9365	 error: 7
Time:	9416	 error: 7
Time:	9467	 error: -68
Time:	9518	 error: -94
Time:	9569	 error: -17
Time:	9621	 error: 33
Time:	9672	 error: -26
Time:	9723	 error: -40
Time:	9774	 error: 4
Time:	9825	 error: 23
Time:	9877	 error: -23
Time:	9928	 error: -19
Time:	9979	 error: 39
Time:	10030	 error: 26
Time:	10081	 error: 2
Time:	10133	 error: 64
Time:	10184	 error: 76
