score:	0
Time:	0	 error: 100
Time:	51	 error: 40
Time:	102	 error: -91
Time:	153	 error: 27
Time:	204	 error: 79
Time:	255	 error: -67
Time:	306	 error: 63
Time:	357	 error: 78
Time:	408	 error: -75
Time:	459	 error: -45
Time:	510	 error: 35
Time:	561	 error: 0
Time:	612	 error: -62
Time:	663	 error: -21
Time:	714	 error: 30
Time:	765	 error: -30
Time:	816	 error: -98
Time:	867	 error: -58
Time:	918	 error: -18
Time:	969	 error: 29
Time:	1020	 error: 0
Time:	1072	 error: -17
Time:	1123	 error: 31
Time:	1174	 error: -97
Time:	1225	 error: -76
Time:	1276	 error: -32
Time:	1328	 error: -9
Time:	1379	 error: -2
Time:	1430	 error: -52
Time:	1481	 error: -99
Time:	1532	 error: -100
Time:	1584	 error: -99
Time:	1635	 error: -99
Time:	1686	 error: -99
Time:	1737	 error: -95
Time:	1788	 error: -94
Time:	1840	 error: -48
Time:	1891	 error: 60
Time:	1942	 error: 50
Time:	1993	 error: -71
Time:	2044	 error: -91
Time:	2096	 error: -93
Time:	2147	 error: -70
Time:	2198	 error: 95
Time:	2249	 error: 86
Time:	2300	 error: 62
Time:	2352	 error: -20
Time:	2403	 error: 24
Time:	2454	 error: 84
Time:	2505	 error: 74
Time:	2556	 error: 27
Time:	2608	 error: -22
Time:	2659	 error: 21
Time:	2710	 error: 69
Time:	2761	 error: 51
Time:	2812	 error: 24
Time:	2864	 error: -13
Time:	2915	 error: 8
Time:	2966	 error: 40
Time:	3017	 error: 52
Time:	3068	 error: 64
Time:	3120	 error: 52
Time:	3171	 error: 20
Time:	3222	 error: -8
Time:	3273	 error: 33
Time:	3324	 error: 49
Time:	3376	 error: 50
Time:	3427	 error: 69
Time:	3478	 error: 83
Time:	3529	 error: 93
Time:	3580	 error: 84
Time:	3632	 error: 69
Time:	3683	 error: 59
Time:	3734	 error: 67
Time:	3785	 error: 59
Time:	3836	 error: 32
Time:	3888	 error: -38
Time:	3939	 error: -39
Time:	3990	 error: -2
Time:	4041	 error: 38
Time:	4092	 error: -15
Time:	4144	 error: -61
Time:	4195	 error: -42
Time:	4246	 error: -9
Time:	4297	 error: 39
Time:	4348	 error: -42
Time:	4400	 error: -78
Time:	4451	 error: -73
Time:	4502	 error: -70
Time:	4553	 error: -23
Time:	4604	 error: 5
Time:	4656	 error: -16
Time:	4707	 error: -47
Time:	4758	 error: -63
Time:	4809	 error: 16
Time:	4860	 error: 78
Time:	4912	 error: 80
Time:	4963	 error: 44
Time:	5014	 error: -4
Time:	5065	 error: 30
Time:	5116	 error: 86
Time:	5168	 error: 94
Time:	5219	 error: 38
Time:	5270	 error: -54
Time:	5321	 error: -60
Time:	5372	 error: 31
Time:	5424	 error: 84
Time:	5475	 error: 41
Time:	5526	 error: -32
Time:	5577	 error: -30
Time:	5628	 error: 18
Time:	5680	 error: 29
Time:	5731	 error: -6
Time:	5782	 error: 3
Time:	5833	 error: 20
Time:	5884	 error: 20
Time:	5936	 error: 22
Time:	5987	 error: 19
Time:	6038	 error: 31
Time:	6089	 error: 68
Time:	6140	 error: 56
Time:	6192	 error: 17
Time:	6243	 error: 3
Time:	6294	 error: 59
Time:	6345	 error: 88
Time:	6396	 error: 98
Time:	6448	 error: 94
Time:	6499	 error: 66
Time:	6550	 error: 16
Time:	6601	 error: -5
Time:	6652	 error: 35
Time:	6704	 error: 61
Time:	6755	 error: 77
Time:	6806	 error: 76
Time:	6857	 error: 53
Time:	6908	 error: 9
Time:	6960	 error: 3
Time:	7011	 error: 41
Time:	7062	 error: 36
Time:	7113	 error: -56
Time:	7164	 error: -37
Time:	7216	 error: 56
Time:	7267	 error: 49
Time:	7318	 error: -44
Time:	7369	 error: -57
Time:	7420	 error: -73
Time:	7472	 error: 6
Time:	7523	 error: 22
Time:	7574	 error: -76
Time:	7625	 error: -68
Time:	7676	 error: -43
Time:	7728	 error: -11
Time:	7779	 error: 8
Time:	7830	 error: -53
Time:	7881	 error: -57
Time:	7932	 error: -28
Time:	7984	 error: -13
Time:	8035	 error: 6
Time:	8086	 error: -33
Time:	8137	 error: -41
Time:	8188	 error: -63
Time:	8240	 error: -60
Time:	8291	 error: -4
Time:	8342	 error: 0
Time:	8393	 error: -49
Time:	8444	 error: -36
Time:	8496	 error: 6
Time:	8547	 error: -10
Time:	8598	 error: -22
Time:	8649	 error: -12
Time:	8700	 error: 1
Time:	8752	 error: -3
Time:	8803	 error: 17
Time:	8854	 error: 0
Time:	8905	 error: 16
Time:	8956	 error: 79
Time:	9008	 error: 81
Time:	9059	 error: 73
Time:	9110	 error: 46
Time:	9161	 error: -3
Time:	9212	 error: 37
Time:	9264	 error: 96
Time:	9315	 error: 98
Time:	9366	 error: 91
Time:	9417	 error: 94
Time:	9468	 error: 93
Time:	9520	 error: 88
Time:	9571	 error: 55
Time:	9622	 error: -74
Time:	9673	 error: -66
Time:	9724	 error: -65
Time:	9776	 error: -54
Time:	9827	 error: -61
Time:	9878	 error: -78
Time:	9929	 error: -82
Time:	9980	 error: -80
Time:	10032	 error: -86
Time:	10083	 error: -79
Time:	10134	 error: 80
Time:	10185	 error: -5
