MT: 0.40	MR: 0.50	MF: 10
1	-100
52	-62
103	0
154	97
205	89
256	90
307	-50
358	-96
409	-82
460	17
511	81
562	59
613	-28
664	-86
715	-90
766	-82
817	-91
868	-37
919	100
970	90
1021	8
1072	-87
1123	-85
1174	-85
1225	-85
1276	-86
1327	-90
1378	-92
1429	-94
1480	-93
1532	-93
1583	-93
1634	63
1685	90
1736	76
1788	-57
1839	-89
1890	-90
1941	-89
1992	-90
2044	31
2095	97
2146	87
2197	97
2248	58
2300	-60
2351	-22
2402	88
2453	95
2504	90
2556	92
2607	75
2658	16
2709	-55
2760	-48
2812	51
2863	83
2914	75
2965	52
3016	46
3068	58
3119	74
3170	86
3221	49
3272	-47
3324	11
3375	87
3426	83
3477	86
3528	84
3580	83
3631	84
3682	85
3733	75
3784	12
3836	-70
3887	-91
3938	-93
3989	-70
4040	55
4092	59
4143	-55
4194	-95
4245	-95
4296	-94
4348	-65
4399	-5
4450	19
4501	-12
4552	-75
4604	-64
4655	49
4706	90
4757	91
4808	82
4860	37
4911	-3
4962	5
5013	44
5064	18
5116	-59
5167	-17
5218	72
5269	65
5320	-12
5372	-74
5423	-40
5474	58
5525	75
5576	46
5628	-14
5679	-21
5730	59
5781	84
5832	81
5884	71
5935	35
5986	-20
6037	13
6088	69
6140	85
6191	87
6242	90
6293	79
6344	50
6396	-4
6447	0
6498	41
6549	68
6600	78
6652	64
6703	13
6754	-58
6805	-27
6856	78
6908	89
6959	24
7010	-95
7061	-93
7112	-16
7164	88
7215	70
7266	-91
7317	-95
7368	-95
7420	-83
7471	20
7522	30
7573	-32
7624	-78
7676	-63
7727	-7
7778	5
7829	-38
7880	-57
7932	-37
7983	-50
8034	-20
8085	36
8136	-2
8188	-80
8239	-93
8290	-55
8341	12
8392	41
8444	-5
8495	-62
8546	-66
8597	37
8648	87
8700	87
8751	73
8802	45
8853	10
8904	-26
8956	23
9007	89
9058	81
9109	69
9160	42
9212	13
9263	-40
9314	-95
9365	-95
9416	-95
9468	-95
9519	-96
9570	-96
9621	-96
9672	-96
9724	-97
9775	-96
9826	-94
9877	-93
9928	-93
9980	-93
10031	-83
10082	-92
10133	-93
10184	-93
